hora,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Medio Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Medio Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Medio,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Medio,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Medio,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Rápido
0,155,12,81,286,64,27,226,284,31,16,229,272,271
1,106,9,45,193,31,13,135,217,32,4,113,145,107
2,72,2,14,101,12,6,90,145,9,1,78,2,65
3,82,9,41,93,5,8,110,120,5,1,86,44,4
4,181,12,78,109,6,32,225,124,5,12,203,72,4
5,416,107,372,302,43,444,718,297,44,364,836,249,20
6,824,249,629,611,251,1980,1509,671,259,1778,1489,639,171
7,1092,408,857,1031,1140,1876,1476,1130,958,930,1303,1337,1104
8,1055,651,1109,1133,1285,1562,1269,1233,1159,1100,1432,1499,1076
9,853,781,886,1139,1038,1917,1355,1238,1030,1217,1423,1408,782
10,801,524,756,1232,1010,1571,1188,1301,1064,1006,1482,1422,765
11,823,535,761,1311,1134,1477,1163,1400,1263,973,1406,1442,849
12,727,417,995,1416,1347,1418,1234,1506,1400,1047,1299,1515,987
13,804,561,1261,1492,1714,1422,1262,1615,1758,988,1466,1610,1253
14,893,613,1156,1663,2103,1507,1280,1789,2085,1322,1572,1691,1511
15,922,485,1091,1638,2120,1652,1306,1742,1952,1288,1554,1694,1619
16,919,553,1061,1495,1703,1722,1391,1705,1864,1295,1574,1669,1578
17,871,575,942,1497,1710,1634,1360,1702,1831,929,1445,1671,1487
18,772,657,969,1511,1903,1410,1298,1596,1723,901,1395,1583,1458
19,730,384,869,1455,1692,1128,1160,1480,1653,801,1274,1528,1222
20,608,408,833,1390,1548,850,1037,1392,1294,566,1184,1394,869
21,508,256,656,1047,1061,477,819,1112,784,274,831,999,445
22,369,150,431,817,602,281,660,859,415,154,653,807,274
23,296,183,194,499,198,126,461,505,123,59,396,479,77
