hora,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Medio Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Medio Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  D. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Medio Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; CAMPUS GUAJARA ; Al Campo  C. Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Rápido,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Medio,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta D. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Lento,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Medio,jueves 2020-02-27 ; TF-5 Autopista de Santa Cruz a el Tanque ; PADRE ANCHIETA ; Anchieta C. Rápido
0,12,0,4,16,0,0,5,10,0,0,11,7,13
1,20,0,15,31,1,0,7,15,0,0,18,11,12
2,14,0,0,14,0,0,5,6,0,0,14,2,4
3,12,0,1,12,0,0,9,5,0,0,16,7,0
4,20,0,1,21,1,0,6,11,1,0,17,16,0
5,40,0,3,41,2,5,20,30,2,4,58,40,3
6,86,0,13,87,10,19,53,79,14,12,94,71,5
7,64,0,34,101,9,12,44,99,14,5,76,95,20
8,61,0,39,112,13,21,63,107,16,4,101,95,20
9,103,0,35,102,13,33,106,114,32,11,156,83,16
10,81,0,39,102,15,27,56,98,26,6,107,101,16
11,93,0,34,100,9,18,64,87,16,7,148,79,15
12,86,0,35,97,10,18,75,81,22,9,131,82,23
13,79,0,50,106,20,20,72,76,21,7,123,83,14
14,91,0,40,81,12,12,67,87,24,7,115,63,27
15,77,0,21,86,12,29,64,66,21,6,113,55,25
16,62,0,37,75,12,18,55,73,19,11,85,61,18
17,56,0,16,49,12,16,47,55,15,6,60,54,13
18,37,0,26,50,6,13,37,40,16,1,47,34,17
19,29,0,15,35,12,11,25,33,17,7,28,31,16
20,20,0,29,26,4,10,24,33,14,3,28,21,5
21,13,0,46,15,3,4,15,24,7,1,18,19,1
22,12,0,28,12,1,3,18,12,2,1,16,8,4
23,14,0,9,21,0,1,7,13,0,1,14,18,1
